judge_a,judge_b,appearances,caseid
Uri Shoham,Yosef Elron,79,0
David Mintz,Yoram Danziger,78,0
Yosef Elron,Noam Sohlberg,76,0
Uzi Vogelman,Dorit Beinisch,75,0
Eliezer Rivlin,Edna Arbel,75,0
David Mintz,Noam Sohlberg,74,0
Anat Baron,George Karra,74,0
Salim Joubran,Edmond Levy,74,0
David Mintz,Uzi Vogelman,74,0
Edna Arbel,Dorit Beinisch,73,0
Elyakim Rubinstein,Eliezer Rivlin,71,0
Edmond Levy,Hanan Melcer,70,0
Neal Hendel,George Karra,67,0
Asher Grunis,Eliezer Rivlin,64,0
Uzi Vogelman,George Karra,62,0
Miriam Naor,Anat Baron,59,0
Neal Hendel,Yael Willner,59,0
Yoram Danziger,Eliezer Rivlin,57,0
Ayala Procaccia,Elyakim Rubinstein,57,0
Ayala Procaccia,Salim Joubran,56,0
David Mintz,Hanan Melcer,54,0
Miriam Naor,Dorit Beinisch,53,0
Neal Hendel,Edmond Levy,51,0
Yosef Elron,Daphne Barak-Erez,51,0
David Mintz,Neal Hendel,50,0
Yoram Danziger,George Karra,48,0
David Mintz,Menahem Mazuz,47,0
Uri Shoham,Yael Willner,46,0
David Mintz,Esther Hayut,46,0
Isaac Amit,Yael Willner,46,0
Anat Baron,Yael Willner,44,0
David Mintz,George Karra,43,0
George Karra,Daphne Barak-Erez,43,0
David Mintz,Anat Baron,41,0
Eliezer Rivlin,Dorit Beinisch,41,0
Esther Hayut,Eliezer Rivlin,40,0
Hanan Melcer,Dorit Beinisch,40,0
Miriam Naor,Edmond Levy,39,0
George Karra,Noam Sohlberg,38,0
George Karra,Hanan Melcer,38,0
Asher Grunis,Edmond Levy,37,0
Edmond Levy,Esther Hayut,37,0
Neal Hendel,Dorit Beinisch,36,0
Neal Hendel,Yosef Elron,36,0
Isaac Amit,Yosef Elron,35,0
Esther Hayut,Dorit Beinisch,34,0
Elyakim Rubinstein,Dorit Beinisch,33,0
David Mintz,Yosef Elron,32,0
George Karra,Esther Hayut,32,0
Isaac Amit,Dorit Beinisch,31,0
Miriam Naor,Eliezer Rivlin,30,0
Yael Willner,Menahem Mazuz,30,0
Asher Grunis,Dorit Beinisch,29,0
David Mintz,Daphne Barak-Erez,28,0
George Karra,Yael Willner,27,0
Uzi Vogelman,Edmond Levy,27,0
Yosef Elron,Hanan Melcer,27,0
George Karra,Yosef Elron,26,0
George Karra,Menahem Mazuz,26,0
Zvi Zilbertal,Eliezer Rivlin,25,0
Anat Baron,Yosef Elron,23,0
Uzi Vogelman,Yael Willner,23,0
David Mintz,Yael Willner,21,0
Yael Willner,Noam Sohlberg,21,0
Uzi Vogelman,Yosef Elron,19,0
Menahem Mazuz,Yosef Elron,19,0
Yael Willner,Daphne Barak-Erez,19,0
Noam Sohlberg,Eliezer Rivlin,18,0
Yosef Elron,Esther Hayut,18,0
Yoram Danziger,Dorit Beinisch,18,0
Edmond Levy,Dorit Beinisch,18,0
Salim Joubran,Dorit Beinisch,15,0
Ayala Procaccia,Edna Arbel,13,0
Ayala Procaccia,Yoram Danziger,12,0
Yael Willner,Yosef Elron,11,0
Yael Willner,Esther Hayut,10,0
