Name,Sector,Gender,Number,Percentage
ניצן,Jew,Female,75,0.12
ניר,Jew,Female,15,0.02
נרי,Jew,Female,8,0.01
נריה,Jew,Female,15,0.02
סהר,Jew,Female,46,0.07
סול,Jew,Female,58,0.09
סיון,Jew,Female,51,0.08
סילין,Jew,Female,6,0.01
סימה,Jew,Female,34,0.05
סתיו,Jew,Female,74,0.12
עדי,Jew,Female,540,0.87
עדיאל,Jew,Female,12,0.02
עדן,Jew,Female,284,0.46
עומר,Jew,Female,169,0.27
עומרי,Jew,Female,6,0.01
עופר,Jew,Female,6,0.01
עופרי,Jew,Female,348,0.56
עידן,Jew,Female,18,0.03
עינב,Jew,Female,27,0.04
עמית,Jew,Female,354,0.57
עמנואל,Jew,Female,69,0.11
ענבר,Jew,Female,116,0.19
פאר,Jew,Female,25,0.04
פלג,Jew,Female,24,0.04
פריאל,Jew,Female,51,0.08
ציון,Jew,Female,13,0.02
קדם,Jew,Female,14,0.02
רביד,Jew,Female,20,0.03
רוז,Jew,Female,8,0.01
רום,Jew,Female,14,0.02
רומי,Jew,Female,704,1.14
רון,Jew,Female,29,0.05
רוני,Jew,Female,657,1.06
רותם,Jew,Female,223,0.36
רז,Jew,Female,52,0.08
ריף,Jew,Female,14,0.02
רני,Jew,Female,49,0.08
שביט,Jew,Female,12,0.02
שובל,Jew,Female,36,0.06
שוהם,Jew,Female,156,0.25
שחף,Jew,Female,25,0.04
שחר,Jew,Female,237,0.38
שי,Jew,Female,201,0.32
שי-לי,Jew,Female,176,0.28
שילה,Jew,Female,6,0.01
שיר,Jew,Female,306,0.49
שמחה,Jew,Female,16,0.03
שקד,Jew,Female,308,0.5
שרה,Jew,Female,863,1.39
שרון,Jew,Female,26,0.04
תבל,Jew,Female,25,0.04
תום,Jew,Female,23,0.04
תומר,Jew,Female,17,0.03
נורה,Arab,Female,22,0.13
סילא,Arab,Female,49,0.29
סמא,Arab,Female,66,0.39
ראמא,Arab,Female,68,0.4
רהף,Arab,Female,209,1.23
רפיף,Arab,Female,69,0.41
תאלא,Arab,Female,183,1.08
תולאי,Arab,Female,22,0.13
תולין,Arab,Female,112,0.66
תיא,Arab,Female,20,0.12
פאטמה,Arab,Female,197,1.16
שאם,Arab,Female,193,1.14
ריתאל,Arab,Female,191,1.13
רימאס,Arab,Female,172,1.02
סארה,Arab,Female,156,0.92
תאלין,Arab,Female,143,0.84
זינה,Arab,Female,138,0.82
ג'ורי,Arab,Female,137,0.81
סלמא,Arab,Female,103,0.61
פרח,Arab,Female,97,0.57
שהד,Arab,Female,91,0.54
לארין,Arab,Female,87,0.51
זינב,Arab,Female,79,0.47
דארין,Arab,Female,75,0.44
תאליה,Arab,Female,73,0.43
ביאן,Arab,Female,71,0.42
